,S.NO,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,PLOT,WOOD.DENSITY
65,65,Tectona grandis,20,11.49,7.6,P3,0.615
67,67,Tectona grandis,15,7.35,5.9,P4,0.615
69,69,Tectona grandis,16.3,7.64,5.7,P4,0.615
70,70,Tectona grandis,19.2,10.18,6.05,P4,0.615
71,71,Tectona grandis,14.3,6.81,4.6,P4,0.615
72,72,Tectona grandis,20,10.82,7.7,P4,0.615
74,74,Tectona grandis,12.2,6.24,4.7,P4,0.615
76,76,Tectona grandis,17,8.59,6.7,P4,0.615
77,77,Tectona grandis,22,15.21,9.8,P4,0.615
78,78,Tectona grandis,18,9.87,7.7,P4,0.615
79,79,Tectona grandis,13,5.79,3.3,P4,0.615
81,81,Tectona grandis,10.3,5.73,3.4,P4,0.615
83,83,Tectona grandis,20,13.08,8.7,P4,0.615
84,84,Tectona grandis,18,9.23,7.05,P4,0.615
85,85,Tectona grandis,17.6,8.31,6.2,P4,0.615
86,86,Tectona grandis,14,6.14,3.6,P4,0.615
88,88,Tectona grandis,18,9.23,7.2,P5,0.615
90,90,Tectona grandis,17,8.34,6.8,P5,0.615
91,91,Tectona grandis,12,6.37,4.05,P5,0.615
92,92,Tectona grandis,14.4,7.1,4.7,P5,0.615
93,93,Tectona grandis,17,8.98,7.6,P5,0.615
95,95,Tectona grandis,18.8,9.01,6.9,P5,0.615
97,97,Tectona grandis,11.6,7.26,5.9,P5,0.615
98,98,Tectona grandis,17,8.85,6.8,P5,0.615
99,99,Tectona grandis,15.7,6.43,4.6,P5,0.615
100,100,Tectona grandis,16.9,7.42,5.1,P5,0.615
102,102,Tectona grandis,18.2,9.96,7.3,P5,0.615
104,104,Tectona grandis,18,9.2,6.2,P5,0.615
105,105,Tectona grandis,10,6.91,4.5,P5,0.615
106,106,Tectona grandis,17.5,8.59,6.6,P5,0.615
107,107,Tectona grandis,18.5,9.96,7.1,P5,0.615
109,109,Tectona grandis,15.1,6.14,3.7,P6,0.615
111,111,Tectona grandis,15,6.56,4.5,P6,0.615
112,112,Tectona grandis,11,6.08,3.6,P6,0.615
113,113,Tectona grandis,10.4,6.21,3.8,P6,0.615
114,114,Tectona grandis,13,5.54,3.5,P6,0.615
116,116,Tectona grandis,12,6.24,4,P6,0.615
118,118,Tectona grandis,12.7,5.98,3.05,P6,0.615
119,119,Tectona grandis,14,6.27,4.6,P6,0.615
120,120,Tectona grandis,16.8,7.51,6.05,P6,0.615
121,121,Tectona grandis,10.7,5.51,3.1,P6,0.615
123,123,Tectona grandis,16.2,6.43,4.7,P6,0.615
125,125,Tectona grandis,12.1,6.05,3.5,P6,0.615
126,126,Tectona grandis,15.2,6.27,4.6,P6,0.615
127,127,Tectona grandis,10,5.47,3.9,P6,0.615
128,128,Tectona grandis,15.7,6.75,4.1,P6,0.615
130,130,Tectona grandis,14.6,6.37,4.6,P6,0.615
132,132,Tectona grandis,16.2,7.73,6.9,P6,0.615
